IrE,ErE,Reward,Param,Value,Q-value
0.474,0.338,-1,infectionProbability,1,-2.0346
0.154,0.158,-1,infectionProbability,0.8,-2.0441
0.4,0.34,-1,infectionProbability,0.6,-2.0538
0.104,0.264,-1,infectionProbability,0.4,-2.0576
0.262,0.062,-1,infectionProbability,0.2,-2.0685
0.3,0.078,-1,infectionProbability,0,-2.0862
0.456,0.338,-1,infectionProbability,1,-2.0939
0.176,0.174,-1,infectionProbability,0.8,-2.1032
0.422,0.344,-1,infectionProbability,0.6,-2.1128
0.084,0.256,-1,infectionProbability,0.4,-2.1164
0.276,0.104,-1,infectionProbability,0.2,-2.1271
0.3,0.048,-1,infectionProbability,0,-2.1445
0.416,0.33,-1,infectionProbability,1,-2.152
0.262,0.198,-1,infectionProbability,0.8,-2.1611
0.39,0.334,-1,infectionProbability,0.6,-2.1705
0.074,0.206,0.02,infectionProbability,0.4,-2.0721
0.298,0.238,-1,infectionProbability,0.4,-2.1306
0.118,0.198,-1,infectionProbability,0.2,-2.1846
0.084,0.186,0.02,infectionProbability,0.4,-2.086
0.332,0.256,-1,infectionProbability,0.4,-2.1443
0.066,0.196,-1,averageRoomVentilationRate,8,-1.9602
0.5,0.35,-1,averageRoomVentilationRate,0,-1.9689
0.372,0.27,-1,averageRoomVentilationRate,4,-1.9755
0.05,0.07,1,averageRoomVentilationRate,10,-1.7757
0.18,0.082,0.02,averageRoomVentilationRate,10,-1.7382
0.36,0.354,-1,averageRoomVentilationRate,10,-1.8035
0.066,0.052,1,averageRoomVentilationRate,10,-1.6674
0.168,0.066,0.02,averageRoomVentilationRate,10,-1.6321
0.356,0.34,-1,averageRoomVentilationRate,10,-1.6994
0.08,0.06,0.02,averageRoomVentilationRate,10,-1.6634
0.208,0.112,-1,averageRoomVentilationRate,10,-1.7302
0.356,0.358,-1,averageRoomVentilationRate,10,-1.7956
0.078,0.052,0.02,averageRoomVentilationRate,10,-1.7576
0.218,0.134,-1,averageRoomVentilationRate,10,-1.8225
0.374,0.374,-1,averageRoomVentilationRate,10,-1.886
0.092,0.03,1,averageRoomVentilationRate,10,-1.7483
0.226,0.12,-1,averageRoomVentilationRate,10,-1.8133
0.344,0.338,-1,averageRoomVentilationRate,10,-1.8771
0.09,0.052,0.02,averageRoomVentilationRate,10,-1.8375
0.24,0.158,-1,averageRoomVentilationRate,10,-1.9008
0.276,0.286,-1,infectionProbability,0.4,-2.2014
0.3,0.15,-1,infectionProbability,0,-2.2016
0.176,0.148,-1,infectionProbability,1,-2.209
0.368,0.284,-1,infectionProbability,0.8,-2.2179
0.066,0.084,-1,infectionProbability,0.6,-2.2271
0.278,0.21,-1,infectionProbability,0.2,-2.2409
0.07,0.14,0.02,infectionProbability,0.4,-2.1554
0.122,0.046,-1,infectionProbability,0.4,-2.2123
0.3,0.24,-1,infectionProbability,0,-2.2575
0.424,0.298,-1,infectionProbability,1,-2.2648
